occurred_at,topic,event_type,actor_user_id,payload_json
2026-08-07T03:32:27.505137+00:00,kv/call/initiated/6a74532c4a29340f3c9bdccd,call.initiated,6a7500ed375c06fddfece2f3,"{""event"": ""call.initiated"", ""call_id"": ""6a7551cb2c590e13cf616d14"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""initiated_at"": ""2026-08-07T03:32:27.441792+00:00""}"
2026-08-07T03:33:59.044945+00:00,kv/message/sent/6a74532c4a29340f3c9bdccd,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a7552272c590e13cf616d17"", ""conversation_id"": ""6a74532c4a29340f3c9bdccd_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""text"": ""vipi"", ""created_at"": ""2026-08-07T03:33:59.021827+00:00""}"
2026-08-07T03:34:10.319800+00:00,kv/call/initiated/6a74532c4a29340f3c9bdccd,call.initiated,6a7500ed375c06fddfece2f3,"{""event"": ""call.initiated"", ""call_id"": ""6a7552322c590e13cf616d19"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""initiated_at"": ""2026-08-07T03:34:10.312398+00:00""}"
2026-08-07T08:27:12.547629+00:00,kv/payment/initiated/6a7500ed375c06fddfece2f3,payment.initiated,,"{""event"": ""payment.initiated"", ""order_id"": ""kv_1786091232_57a0b96b"", ""amount"": 1000, ""currency"": ""TZS"", ""method"": ""mixx"", ""occurred_at"": ""2026-08-07T08:27:12.468461+00:00""}"
2026-08-07T08:27:17.548128+00:00,kv/payment/paid/6a7500ed375c06fddfece2f3,payment.paid,,"{""event"": ""payment.paid"", ""order_id"": ""kv_1786091232_57a0b96b"", ""amount"": 1000, ""currency"": ""TZS"", ""method"": ""mixx"", ""status"": ""paid"", ""occurred_at"": ""2026-08-07T08:27:17.545512+00:00""}"
2026-08-07T08:30:31.797957+00:00,kv/payment/initiated/6a7500ed375c06fddfece2f3,payment.initiated,,"{""event"": ""payment.initiated"", ""order_id"": ""kv_1786091431_aff7d4a6"", ""amount"": 5000, ""currency"": ""TZS"", ""method"": ""mpesa"", ""occurred_at"": ""2026-08-07T08:30:31.786642+00:00""}"
2026-08-07T08:30:36.831789+00:00,kv/payment/paid/6a7500ed375c06fddfece2f3,payment.paid,,"{""event"": ""payment.paid"", ""order_id"": ""kv_1786091431_aff7d4a6"", ""amount"": 5000, ""currency"": ""TZS"", ""method"": ""mpesa"", ""status"": ""paid"", ""occurred_at"": ""2026-08-07T08:30:36.822622+00:00""}"
2026-08-07T10:59:17.378416+00:00,kv/payment/initiated/6a7500ed375c06fddfece2f3,payment.initiated,,"{""event"": ""payment.initiated"", ""order_id"": ""kv_1786100357_577bd79e"", ""amount"": 1000, ""currency"": ""TZS"", ""method"": ""mixx"", ""occurred_at"": ""2026-08-07T10:59:17.356712+00:00""}"
2026-08-07T10:59:22.392874+00:00,kv/payment/paid/6a7500ed375c06fddfece2f3,payment.paid,,"{""event"": ""payment.paid"", ""order_id"": ""kv_1786100357_577bd79e"", ""amount"": 1000, ""currency"": ""TZS"", ""method"": ""mixx"", ""status"": ""paid"", ""occurred_at"": ""2026-08-07T10:59:22.392052+00:00""}"
2026-08-07T11:00:49.257969+00:00,kv/message/sent/6a74532c4a29340f3c9bdccd,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a75bae1e1f86c0203351f45"", ""conversation_id"": ""6a74532c4a29340f3c9bdccd_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""text"": ""mambo"", ""created_at"": ""2026-08-07T11:00:49.247910+00:00""}"
2026-08-07T11:00:58.421786+00:00,kv/message/sent/6a74532c4a29340f3c9bdccd,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a75baeae1f86c0203351f47"", ""conversation_id"": ""6a74532c4a29340f3c9bdccd_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""text"": ""nakupenda"", ""created_at"": ""2026-08-07T11:00:58.415534+00:00""}"
2026-08-07T11:01:29.864865+00:00,kv/message/sent/6a7500ed375c06fddfece2f3,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a75bb09e1f86c0203351f49"", ""conversation_id"": ""6a7500ed375c06fddfece2f3_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a7500ed375c06fddfece2f3"", ""text"": ""sawa"", ""created_at"": ""2026-08-07T11:01:29.858470+00:00"", ""delivered_at"": ""2026-08-07T11:01:29.858470+00:00""}"
2026-08-07T11:01:40.341172+00:00,kv/call/initiated/6a7500ed375c06fddfece2f3,call.initiated,6a7500ed375c06fddfece2f3,"{""event"": ""call.initiated"", ""call_id"": ""6a75bb14e1f86c0203351f4b"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a7500ed375c06fddfece2f3"", ""initiated_at"": ""2026-08-07T11:01:40.337839+00:00""}"
2026-08-07T19:22:45.840327+00:00,kv/user/registered,user.registered,6a763085bd53cd802e795808,"{""event"": ""user.registered"", ""user_id"": ""6a763085bd53cd802e795808"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": 1701, ""district_name"": ""Nyamagana Dc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 1, ""region_name"": ""Arusha"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-07T19:22:45.399633+00:00""}"
2026-08-07T19:22:46.565606+00:00,kv/user/registered,user.registered,6a763086bd53cd802e795816,"{""event"": ""user.registered"", ""user_id"": ""6a763086bd53cd802e795816"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": 1701, ""district_name"": ""Nyamagana Dc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 1, ""region_name"": ""Arusha"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-07T19:22:46.241374+00:00""}"
2026-08-07T19:22:47.578036+00:00,kv/user/registered,user.registered,6a763087bd53cd802e795819,"{""event"": ""user.registered"", ""user_id"": ""6a763087bd53cd802e795819"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": 1701, ""district_name"": ""Nyamagana Dc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 1, ""region_name"": ""Arusha"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-07T19:22:47.247951+00:00""}"
2026-08-07T19:22:48.262901+00:00,kv/user/registered,user.registered,6a763088bd53cd802e79581c,"{""event"": ""user.registered"", ""user_id"": ""6a763088bd53cd802e79581c"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": 1701, ""district_name"": ""Nyamagana Dc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 1, ""region_name"": ""Arusha"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-07T19:22:47.935238+00:00""}"
2026-08-07T19:22:48.657559+00:00,kv/user/registered,user.registered,6a763088bd53cd802e79581f,"{""event"": ""user.registered"", ""user_id"": ""6a763088bd53cd802e79581f"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": 1701, ""district_name"": ""Nyamagana Dc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 1, ""region_name"": ""Arusha"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-07T19:22:48.329109+00:00""}"
